doc_id,source_type,source_name,url,topic,status,filepath_raw,last_updated,filepath_cleaned,filepath_processed,title,last_edited,retrieved
uni_014,uni,berkeley,https://internationaloffice.berkeley.edu/immigration/entry-us-travel-and-re-entry,traveling entry,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_014_entry-us-travel-and-re-entry.html,2026-04-19T21:17:12.082970,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_014_entry-us-travel-and-re-entry.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_014_entry-us-travel-and-re-entry.md,Entry to the U.S.: Travel and Re-Entry | Berkeley International Office,,4/19/2026
uni_015,uni,berkeley,https://internationaloffice.berkeley.edu/students/employment/oncampus,on campus employment,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_015_oncampus.html,2026-04-19T21:17:12.146077,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_015_oncampus.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_015_oncampus.md,On-Campus Employment | Berkeley International Office,,4/19/2026
uni_016,uni,berkeley,https://internationaloffice.berkeley.edu/students/employment/cpt,cpt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_016_cpt.html,2026-04-19T21:17:12.238174,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_016_cpt.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_016_cpt.md,F-1 Curricular Practical Training (CPT) | Berkeley International Office,,4/19/2026
uni_019,uni,berkeley,https://internationaloffice.berkeley.edu/students/employment/stemopt,stem opt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_019_stemopt.html,2026-04-19T21:17:12.446219,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_019_stemopt.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_019_stemopt.md,STEM OPT 24-Month Extension | Berkeley International Office,,4/19/2026
uni_020,uni,berkeley,https://internationaloffice.berkeley.edu/students/employment/special-employment-authorizations,employment,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_020_special-employment-authorizations.html,2026-04-19T21:17:12.493950,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_020_special-employment-authorizations.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_020_special-employment-authorizations.md,Special Employment Authorizations | Berkeley International Office,,4/19/2026
uni_021,uni,berkeley,https://internationaloffice.berkeley.edu/students/employment/cap-gap,cap gap,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_021_cap-gap.html,2026-04-19T21:17:12.580556,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_021_cap-gap.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_021_cap-gap.md,H-1B and OPT Cap-Gap Extensions | Berkeley International Office,,4/19/2026
uni_022,uni,berkeley,https://internationaloffice.berkeley.edu/h-1b_faqs,h1b,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_022_h-1b_faqs.html,2026-04-19T21:17:12.648660,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_022_h-1b_faqs.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_022_h-1b_faqs.md,H-1B Frequently Asked Questions | Berkeley International Office,,4/19/2026
uni_023,uni,njit,https://www.njit.edu/global/visa-information-application-process,visa,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_023_visa-information-application-process.html,2026-04-19T21:17:12.731432,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_023_visa-information-application-process.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_023_visa-information-application-process.md,Visa Information & Application Process | Office of Global Initiatives,,4/19/2026
uni_024,uni,njit,https://www.njit.edu/global/full-time-enrollment-and-full-time-certification,enrollment certification,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_024_full-time-enrollment-and-full-time-certification.html,2026-04-19T21:17:12.823222,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_024_full-time-enrollment-and-full-time-certification.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_024_full-time-enrollment-and-full-time-certification.md,Full-Time Enrollment and Full-Time Certification | Office of Global Initiatives,,4/19/2026
uni_025,uni,njit,https://www.njit.edu/global/changeofstatus,change of status,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_025_changeofstatus.html,2026-04-19T21:17:12.920058,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_025_changeofstatus.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_025_changeofstatus.md,Change of Status to F-1 | Office of Global Initiatives,,4/19/2026
uni_026,uni,njit,https://www.njit.edu/global/f1reinstatement,f1 reinstatement,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_026_f1reinstatement.html,2026-04-19T21:17:13.022587,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_026_f1reinstatement.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_026_f1reinstatement.md,Reestablishing F-1 Status | Office of Global Initiatives,,4/19/2026
uni_027,uni,njit,https://www.njit.edu/global/employment-f-1-students,employment,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_027_employment-f-1-students.html,2026-04-19T21:17:13.145690,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_027_employment-f-1-students.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_027_employment-f-1-students.md,Employment for F-1 Students | Office of Global Initiatives,,4/19/2026
uni_028,uni,njit,https://www.njit.edu/global/optional-practical-training,opt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_028_optional-practical-training.html,2026-04-19T21:17:13.313471,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_028_optional-practical-training.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_028_optional-practical-training.md,Optional Practical Training | Office of Global Initiatives,,4/19/2026
uni_029,uni,njit,https://www.njit.edu/global/curricular-practical-training,cpt,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_029_curricular-practical-training.html,2026-04-19T21:17:13.484222,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_029_curricular-practical-training.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_029_curricular-practical-training.md,Curricular Practical Training | Office of Global Initiatives,,4/19/2026
uni_030,uni,njit,https://www.njit.edu/global/stem-opt-extension,stem extension,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_030_stem-opt-extension.html,2026-04-19T21:17:13.605751,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_030_stem-opt-extension.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_030_stem-opt-extension.md,24-Month STEM OPT Extension | Office of Global Initiatives,,4/19/2026
uni_031,uni,njit,https://www.njit.edu/global/opt-reporting,opt reporting,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_031_opt-reporting.html,2026-04-19T21:17:13.698283,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_031_opt-reporting.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_031_opt-reporting.md,OPT Reporting | Office of Global Initiatives,,4/19/2026
uni_032,uni,njit,https://www.njit.edu/global/opt-employment-volunteering,volunteer unpaid,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_032_opt-employment-volunteering.html,2026-04-19T21:17:13.786986,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_032_opt-employment-volunteering.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_032_opt-employment-volunteering.md,OPT Employment - Volunteering | Office of Global Initiatives,,4/19/2026
uni_033,uni,njit,https://www.njit.edu/global/H1B,h1b,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_033_H1B.html,2026-04-19T21:17:13.938611,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_033_H1B.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_033_H1B.md,H1B application & Cap Gap Extension | Office of Global Initiatives,,4/19/2026
uni_034,uni,njit,https://www.njit.edu/global/internship-international-organization,internship,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_034_internship-international-organization.html,2026-04-19T21:17:14.087682,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_034_internship-international-organization.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_034_internship-international-organization.md,Internship with an International Organization | Office of Global Initiatives,,4/19/2026
uni_035,uni,njit,https://www.njit.edu/global/economic-hardship,economic hardship,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_035_economic-hardship.html,2026-04-19T21:17:14.196630,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_035_economic-hardship.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_035_economic-hardship.md,Economic Hardship | Office of Global Initiatives,,4/19/2026
uni_036,uni,njit,https://www.njit.edu/global/replacement-ead,ead,processed,C:\Users\yl73\studentnexus\data\raw\uni\uni_036_replacement-ead.html,2026-04-19T21:17:14.302158,C:\Users\yl73\studentnexus\data\cleaned\uni\uni_036_replacement-ead.md,C:\Users\yl73\studentnexus\data\processed\uni\uni_036_replacement-ead.md,Replacement EAD | Office of Global Initiatives,,4/19/2026
